a,b,sum,carry, OF
-4808573067386457285, -6863299988282644593,  6774871018040449737, 1, 1
-7688553525641375281, -3343170553859491866,  7415019994208684470, 1, 0
  189872427595545610, -6680060936016598203, -6490188508421052592, 0, 0
 -995808632283933115, -8425952962648491201,  9024982478777127299, 1, 1
 4480954528899013829, -2263560820744265371,  2217393708154748457, 1, 0
-7014243668706503121, -7464947393735822558,  3967553011267225938, 1, 1
-3979441021631235843, -4753639408897939141, -8733080430529174985, 1, 0
 1358066160571106074,  7080719011134467365,  8438785171705573440, 0, 0
-2203154204253109537, -3712245809697508127, -5915400013950617665, 1, 0
 8947691589359780842, -5824998587880568917,  3122693001479211926, 1, 0
 4391874205305910395, -1615433545411631410,  2776440659894278986, 1, 0
-1138266230072755834,  2825231209549028012,  1686964979476272178, 1, 0
  661955298355112168, -4830615096760899213, -4168659798405787044, 0, 1
-7288236513438889108,   737363299159159152, -6550873214279729956, 0, 0
-4512903439851010055,  6746979396664203120,  2234075956813193066, 1, 0
 -692808210133112751, -5648238319529619026, -6341046529662731776, 1, 0
-1564226404175500759, -2137933877817360124, -3702160281992860882, 1, 1
-3488769138840075815,  6461497195369022190,  2972728056528946376, 1, 0
-6151102471751249212,  8249400811125843863,  2098298339374594652, 1, 0
-3524282682236397895, -8386208015766122668,  6536253375707031054, 1, 0
 6563810136954956811,  7371346632354525125, -4511587304400069681, 0, 0
 5524968048874725502, -6138917491405110754,  -613949442530385252, 0, 0
 3975856565559273950, -5992058124406342804, -2016201558847068854, 0, 1
 8214825206680363582, -4888937578628604130,  3325887628051759452, 1, 1
 1878251557392532820, -4612172507655481528, -2733920950262948708, 0, 0
-7201737568098153472,  7111665018708611334,   -90072549389542138, 0, 0
-3223121534626487861, -1524249642225466243, -4747371176851954105, 1, 0
-5415759519763764191,  3095071087365788415, -2320688432397975777, 0, 1
-4265988069140113008, -3345065206133952989, -7611053275274065996, 1, 1
 8276108618132405614, -6343653278027117901,  1932455340105287714, 1, 0
-5641027037525385471,  1822952017121547915, -3818075020403837557, 0, 0
 8092365071540245480,   772033328963151598,  8864398400503397078, 0, 1
 8581654588294005670, -3098649179751373870,  5483005408542631800, 1, 0
 -865434773076714488,  5887888527934573241,  5022453754857858754, 1, 1
 5592724197477283979, -4705418737982665848,   887305459494618132, 1, 0
 6748624485613505136, -3474146700488883248,  3274477785124621888, 1, 0
-4531019998303493037, -4711822263274979168,  9203901812131079412, 1, 1
-8534554223159583368, -4078449822150738570,  5833740028399229678, 1, 1
-1957444654085462646,  6567761361755393525,  4610316707669930880, 1, 0
 7067137442952525069,  -424369441213167372,  6642768001739357698, 1, 0
 5944546398103501670,  7491332230169835883, -5010865445436214062, 0, 0
 6499302309653577795, -5044107452804654176,  1455194856848923620, 1, 1
 7495952821728919633, -6080832874929208233,  1415119946799711399, 1, 1
-6411571323225330956, -8246392628291634494,  3788780122192586166, 1, 0
-4698854580796199338, -4270072492385980289, -8968927073182179626, 1, 1
-9095346695035368823,  8870740054590063519,  -224606640445305305, 0, 1
-4531425993504545890,   240904992087171914, -4290521001417373976, 0, 0
 7072127362119517810, -8332736686755500322, -1260609324635982512, 0, 1
 5811925829962314792, -1239827082118983401,  4572098747843331392, 1, 1
 5919427321198869569,   419169273917803596,  6338596595116673166, 0, 0
  348547945368087676,  1888001166017155668,  2236549111385243344, 0, 0
-1757648815611350654,  2125031615349850681,   367382799738500028, 1, 1
-5918002076084756933, -8635252003092349122,  3893489994532445562, 1, 1
-4160980775321712625,  6325367039931931928,  2164386264610219304, 1, 1
-1828193085527935540,  4516257473545318289,  2688064388017382750, 1, 0
-4681181869032284890, -2636554913197238456, -7317736782229523346, 1, 1
-5083121754590127405,  2627019985135217774, -2456101769454909630, 0, 1
-4831655628877321065,  2313401121370814482, -2518254507506506582, 0, 0
 6868534480839981100, -1261346118734783115,  5607188362105197986, 1, 1
 1042077087850022967, -5036204683284610732, -3994127595434587764, 0, 0
 4783043681111874020,  5506280524662143039, -8157419867935534556, 0, 1
 4139072039477881929,  1436497608527055564,  5575569648004937494, 0, 1
-8976001629291010126,  4567411590596689105, -4408590038694321020, 0, 1
-5163059892323358772,  1901579768826282663, -3261480123497076108, 0, 1
 3883249843134684954, -2986197199569489110,   897052643565195844, 1, 1
-8935550112378791685,  1743584409442195831, -7191965702936595855, 0, 1
 -344412357021841709, -7047718004204535997, -7392130361226377707, 1, 0
  909852276851739079, -2906829423892651127, -1996977147040912049, 0, 1
-8170865470582247684,  9198140724155674064,  1027275253573426380, 1, 0
-6340391807891757618, -2286053149935796329, -8626444957827553946, 1, 0
-5412716942372318160, -8608975328090578135,  4425051803246655322, 1, 1
 6564109048861754582, -9030939783989545603, -2466830735127791020, 0, 1
 6153163862389609426,  7247344062853081366, -5046236148466860824, 0, 0
 3303398178079105145, -5501846869422165485, -2198448691343060341, 0, 0
-2499939993452686332,  -961590516125075805, -3461530509577762136, 1, 1
 -328934335107614854, -4160267154943738819, -4489201490051353672, 1, 1
-2578813702118459377,  2791308242917927957,   212494540799468579, 1, 1
-8848694990896560352,  1768797097015433691, -7079897893881126660, 0, 0
-3183222641446598564,  1499372749352757073, -1683849892093841490, 0, 0
-2822479541875211651, -5650292216747161761, -8472771758622373413, 1, 1
 6830903736211777776,  5985060924929808137, -5630779412567965702, 0, 0
-6090075290508076478, -2083848231505012583, -8173923522013089060, 1, 1
 -331471758952360634, -8110268276411372846, -8441740035363733480, 1, 0
 8953293621394402407, -5834578442990062287,  3118715178404340119, 1, 1
-1863756299374050949,  7821426229610478699,  5957669930236427749, 1, 1
-2363546669590459336,  7098498696608486761,  4734952027018027426, 1, 1
  669995587174379069, -2195717928453241958, -1525722341278862888, 0, 0
 9113457830955203377, -2446967230008331694,  6666490600946871684, 1, 1
-6929964557134983413, -4208682711966007422,  7308096804608560782, 1, 1
-3120656792135646239, -2181899788214118383, -5302556580349764623, 1, 1
 4641218644065326076,  3126171402917798206,  7767390046983124282, 0, 1
-1194120614558441217,  3856218335190828472,  2662097720632387256, 1, 0
-8911677222412596900, -8684357737432157130,   850709113864797586, 1, 1
 6669970890662570793,  7999120278838197656, -3777652904208783166, 0, 0
-4123243103361631154, -2172655084164405615, -6295898187526036768, 1, 1
 6809734625022900656,  5686559603597943888, -5950449845088707072, 0, 1
 8646249654095314554, -1753174893759818064,  6893074760335496490, 1, 0
-2620829779312040505,  1219755350032322263, -1401074429279718243, 0, 1
 5549031456025379457,  5637382020653599906, -7260330597030572252, 0, 1
-7307953418617462931,  6191851304259271954, -1116102114358190976, 0, 0
 -158942599283220664, -5782884182214910145, -5941826781498130808, 1, 1
 8674634017346028750,  8938362499436055433,  -833747556927467432, 0, 1
 3593996915835667055,  3416091258824166732,  7010088174659833788, 0, 0
  327513992924917154,  7178639057409954555,  7506153050334871710, 0, 1
 -723974637181568477, -5491760098277317301, -6215734735458885779, 1, 1
 6292583692144083408,  2942615312400527717, -9211545069164940490, 0, 1
 4807917365437665061,  2594950730328247234,  7402868095765912296, 0, 0
 4096754844317924001, -5833697724306841793, -1736942879988917793, 0, 0
 -839288586196831545,  3231085994501720683,  2391797408304889137, 1, 0
-8240296480935904563,  -115291235171280507, -8355587716107185071, 1, 0
 -650347853225236378, -1251727866817085058, -1902075720042321436, 1, 1
 8091285149239068006,  2489791947318280742, -7865666977152202868, 0, 0
 8413568011923058603, -2504741617389496377,  5908826394533562225, 1, 0
-3356525558748144082,  3488294172973297647,   131768614225153566, 1, 0
 4331216103208915539, -4777297480217461793,  -446081377008546255, 0, 1
-9178579073164851712,  5589711748847307847, -3588867324317543864, 0, 0
-7035734307538135191,  1604158165949599997, -5431576141588535195, 0, 1
 6459929100038585682, -7343039097780215511,  -883109997741629828, 0, 0
 4304498933459073413,     6997806394006572,  4311496739853079986, 0, 0
 8011060326434184096, -7007373322657596118,  1003687003776587978, 1, 1
 -149968111974628319,  5656660961784272588,  5506692849809644270, 1, 1
 4034162666294108634,  -588159868884999281,  3446002797409109354, 1, 0
-6340906917976228487, -6074242099699495548,  6031595056033827582, 1, 1
-5656165569999374638,  8254635549959090921,  2598469979959716284, 1, 0
-7026576379918423015,  8993436803488274546,  1966860423569851532, 1, 1
 8493886159588140836,  8753089368433458563, -1199768545687952216, 0, 0
 6555949487326478520,   593078217709202067,  7149027705035680588, 0, 1
 1801970937331642652,  3897563671539843950,  5699534608871486602, 0, 0
  857065949864415653, -3740051360959467540, -2882985411095051886, 0, 1
 8040523269034624782,  1216996793789582852, -9189224010885343982, 0, 0
-2110820555563298408,  3134389354908589215,  1023568799345290808, 1, 0
-6780316773731684271,  1854186173347324448, -4926130600384359822, 0, 0
-5321622550743063567,  -900652589373201000, -6222275140116264566, 1, 0
 8317478680549628802, -4869682116258030005,  3447796564291598798, 1, 1
 4585056589967931512, -1698127403801271028,  2886929186166660484, 1, 1
-4776230033175477615,  5095964021964683241,   319733988789205625, 1, 0
-8469913670993418689, -3347902451371233885,  6628927951344899041, 1, 1
 5350407008264303272, -2471683660182143677,  2878723348082159596, 1, 1
-6765112617475304941,  5062088773604603011, -1703023843870701931, 0, 0
-6034977774239197206,    -2639112711632208, -6037616886950829414, 1, 0
-3712169382773618294,  1702473287114919553, -2009696095658698740, 0, 1
-8705043045874496624,  6249105084425509726, -2455937961448986898, 0, 0
 5029553776964783071, -8205637755288531206, -3176083978323748134, 0, 1
 2293458359368605186, -6664193977457024723, -4370735618088419536, 0, 0
-6513687724396847034,  -362915899597588943, -6876603623994435976, 1, 1
-2301773253335438673,  8765362993559799161,  6463589740224360487, 1, 0
  135947485410855383,  1275296518166572638,  1411244003577428022, 0, 1
 3917825424262420502,  -729205852476211496,  3188619571786209006, 1, 1
-3385661109695336833,  6666156466775539635,  3280495357080202801, 1, 0
-6340820627065720910, -4284361819171812308,  7821561627472018398, 1, 1
 6654634507970439917,  8631652466949945940, -3160457098789165758, 0, 1
  -86351464684370003,  7861354887795000990,  7775003423110630988, 1, 0
-8284282770155792821, -1340762047962426534,  8821699255591332262, 1, 1
 5943888392098911928,  1740236369849302932,  7684124761948214860, 0, 1
 6933423141572184943,   184254854261519596,  7117677995833704540, 0, 1
 2333977918171061849, -8747985733692284132, -6414007815521222282, 0, 0
 8305828801596010199,  8096061443495553436, -2044853828617987980, 0, 1
 9042245854639754478, -3274263351986865990,  5767982502652888488, 1, 0
-4715421500133149446,  8512483160977618295,  3797061660844468850, 1, 0
-6457176759075702768,  6596369584065467273,   139192824989764506, 1, 1
 8343803439961333529, -5975384429774817412,  2368419010186516118, 1, 1
 5534355883401750448, -4860596902790086424,   673758980611664024, 1, 0
 3258454872337022366, -5757232476640913770, -2498777604303891404, 0, 1
-6922040805390544352,  5713574058932965123, -1208466746457579228, 0, 0
-6315091746620141553,  2499321051830178810, -3815770694789962742, 0, 1
 2146763252199275954,  3871655627417008328,  6018418879616284282, 0, 1
-4061734593845697619, -7838753381608649011,  6546256098255204985, 1, 0
 3852314424523806204, -1893392696541270642,  1958921727982535562, 1, 0
-3902751588670726226, -6062978886660471067,  8481013598378354324, 1, 0
-8817654179804298061,  -972126085265179216,  8656963808640074340, 1, 0
 2000299678933242651, -6687018654465702244, -4686718975532459592, 0, 0
-3798880384891508555, -5532160491044192912,  9115703197773850150, 1, 0
 3191574271727039250,   864100556004810739,  4055674827731849990, 0, 1
-2542476092908840955,  4926483438617010151,  2384007345708169195, 1, 1
-8871567547332352816,  7010047985412161805, -1861519561920191010, 0, 0
 8845444003561321934, -6461968513746270283,  2383475489815051652, 1, 0
 8681010436700977392, -3933114469920703293,  4747895966780274100, 1, 0
 3818010063915537639,  2059071460825229897,  5877081524740767535, 0, 1
-1806269656066725163, -8234226342242216102,  8406248075400610352, 1, 0
 6445283910246707729, -3138930546637042650,  3306353363609665080, 1, 1
 9009238830759681473, -4807021844631389605,  4202216986128291867, 1, 0
-1772720584286786964,  3355628044428102056,  1582907460141315092, 1, 0
 8693563406365109188,  4149663763804149398, -5603516903540293030, 0, 1
 6250472244265097267,  1194649068495695476,  7445121312760792744, 0, 0
-5582791041528451758, -2635613830828753856, -8218404872357205614, 1, 1
 1286478731646223615,  8920318044565443645, -8239947297497884357, 0, 1
-2335898648626891640, -7826363312097294697,  8284482112985365280, 1, 0
-4703699012331208901,  1022634130463850067, -3681064881867358835, 0, 0
  221526320613347490, -9068627997701073716, -8847101677087726226, 0, 1
 2603527876463420386,  8109938576013563985, -7733277621232567244, 0, 1
 8225300361993749201,   405514086961075691,  8630814448954824891, 0, 1
 5407412202484855434,  1933164654681877958,  7340576857166733392, 0, 1
 7427684284140729446, -4300087896137491300,  3127596388003238146, 1, 0
 7617085063097743606,   871534725409330443,  8488619788507074050, 0, 1
-7478447821666815238, -7826313382928752706,  3141982869113983672, 1, 0
 5648435409514275112, -1920205535735052103,  3728229873779223010, 1, 1
 5269135444342655978,  7744325911378861079, -5433282717988034558, 0, 1
 3665308967997541376, -3578590856070603147,    86718111926938230, 1, 1
-6479876818575529269, -5571630390481619666,  6395236864652402682, 1, 1
 8913639656173103861,  2244272928880637597, -7288831488655810159, 0, 1
-2914981038679492868, -5564586901792628320, -8479567940472121188, 1, 0
 2824836913380102004, -8766103540212792541, -5941266626832690536, 0, 0
 5846533573578583676,  7116286164904294061, -5483924335226673878, 0, 1
-3774459894354766662,   264417132352853433, -3510042762001913228, 0, 1
 8085127689142036541, -4783469383099744581,  3301658306042291959, 1, 1
 3225388113534785790, -8010403725877540074, -4785015612342754284, 0, 1
-5645126874504086412,  3213624543324013716, -2431502331180072696, 0, 1
 4394434453492035424,  4596548051728315586,  8990982505220351010, 0, 1
-8442395293608344882, -3142495062333665225,  6861853717767541510, 1, 0
 2040424608467966505, -3745754111944943798, -1705329503476977292, 0, 0
 2403629153284792244,  6600871991585721262,  9004501144870513506, 0, 1
 5620813261852069259, -8303484699326957042, -2682671437474887782, 0, 0
-8184203259125156293, -2399741994988206622,  7862798819596188702, 1, 0
  476775499910913108, -4846641676243033159, -4369866176332120050, 0, 1
 3911866649975020205, -4328617366739886365,  -416750716764866161, 0, 1
-7543430739877304140, -8110289564049020836,  2793023769783226640, 1, 0
 7280298915361220247, -6310932202178438549,   969366713182781697, 1, 0
-4859863070465728110, -1384607991727521113, -6244471062193249222, 1, 0
-1264075689235889881,  6171494587219062478,  4907418897983172598, 1, 1
-3276752213009503362, -8702692812734026549,  6467299047966021706, 1, 0
-3865835064182025911,  8924031334902435178,  5058196270720409268, 1, 1
-7947014772879094944, -2083260657773301920,  8416468643057154752, 1, 1
-2530726748016649626, -3344913852617892116, -5875640600634541742, 1, 0
-6072325146991891271,  7344062752447046999,  1271737605455155727, 1, 0
-1881828615779527153, -2698362937042404585, -4580191552821931739, 1, 1
 -818569030924571564,   664090329916573620,  -154478701007997944, 0, 1
 3546696543644757031,  1004762216856333793,  4551458760501090823, 0, 1
 -955806320459699922,  2998773216155370727,  2042966895695670806, 1, 0
 8667870030772866796, -6176622140420521889,  2491247890352344908, 1, 0
-3002596817949790218, -6512074220689322678,  8932073035070438720, 1, 0
 4673445873018820137, -3563246541747050128,  1110199331271770010, 1, 1
-4256276977054378131, -2683592657606895160, -6939869634661273290, 1, 0
-2627796886901723676, -3931799913425672386, -6559596800327396062, 1, 0
-8883301795551580386,  -892094303574161406,  8671347974583809824, 1, 1
  671193082135255278, -1831724870521664938, -1160531788386409660, 0, 1
 4918011965676848001,   120488314719630683,  5038500280396478683, 0, 0
 1120294157861489324,  5060897469820099834,  6181191627681589158, 0, 1
 8110439193414855071, -4655919131134664771,  3454520062280190299, 1, 0
 8158285613393827678, -3687499074227118815,  4470786539166708864, 1, 1
 6701463999690318216, -2294444897194838689,  4407019102495479528, 1, 1
-8184103843055078809, -7165381760252201630,  3097258470402271178, 1, 1
 2014246473658302738, -3265716075998056767, -1251469602339754028, 0, 0
 1565875081886578375,  2636999868483870953,  4202874950370449327, 0, 1
 6303084787722334955,  2679782582529838956,  8982867370252173912, 0, 1
 4556867486542470328, -4191124804736556104,   365742681805914224, 1, 0
-2515157993052333826,  7600263886192521676,  5085105893140187850, 1, 0
-3108185468858852085,  -942424495955610927, -4050609964814463013, 1, 1
-8444393114086798582, -5976001838609574441,  4026349121013178594, 1, 1
-8621173582794329215, -1718867069814322387,  8106703421100900013, 1, 1
 3180886746062941582,  8942354955642713003, -6323502372003897030, 0, 1
 2656307835042104263, -5950138324654037501, -3293830489611933239, 0, 0
-7589950408558283838, -1642620010659854690,  9214173654491413088, 1, 0
-4513167479626853784, -3921971047044787856, -8435138526671641640, 1, 1
 -386264364176222637, -1990181519598550773, -2376445883774773411, 1, 1
 4291366351626937070, -3099598573668567592,  1191767777958369478, 1, 0
  682399635241269364,  2568457296439209466,  3250856931680478830, 0, 1
 3291060271500914736, -6484894630511520505, -3193834359010605768, 0, 0
-6218459058794809565,  3479470317867366428, -2738988740927443136, 0, 0
-3825962005157280510,  7629870895681513356,  3803908890524232846, 1, 1
-3073211819853624231,  6297516913852021514,  3224305093998397284, 1, 1
 5406055594701758704,  7821451525476900962, -5219236953530891950, 0, 1
-4957614630230187624,  8414280879110316540,  3456666248880128916, 1, 0
 7384005035857207052, -6004558698365535946,  1379446337491671106, 1, 1
  527598053698037637,   560750913630098620,  1088348967328136258, 0, 1
 6934318676579836766,  -770061046890700591,  6164257629689136176, 1, 0
 8580368801265712150, -9154034617326881528,  -573665816061169378, 0, 0
  971414515890299702,  3352071459610398210,  4323485975500697912, 0, 0
-2397235868451033504, -5838930401611698661, -8236166270062732164, 1, 1
 8733633513794131580,  2554780245811100651, -7158330314104319384, 0, 1
 6506951156481937658, -5383520875704775974,  1123430280777161684, 1, 0
 -833785339318089305,   482375421299610335,  -351409918018478971, 0, 1
 -183276798598995893,  6092421285561864235,  5909144486962868341, 1, 1
 5161312971014538908, -6756358562559160162, -1595045591544621254, 0, 1
 4143612660497002893,  7564334839649471936, -6738796573563076786, 0, 1
 6596549711727760113,  3699740822200471067, -8150453539781320437, 0, 1
-7051191807706927123, -4191967670633012903,  7203584595369611589, 1, 0
 6094947670178393887,  6387802350436752544, -5963994053094405184, 0, 0
 7751058617616963833,  5303179114334949532, -5392506341757638250, 0, 1
 9090748793357552486, -5591623913352080834,  3499124880005471652, 1, 1
 2955632353434963356, -2026947908454003688,   928684444980959668, 1, 1
 5629927236064746771,  3702262460670809808, -9114554376973995036, 0, 0
 8623802675681212330,  -282854805882528555,  8340947869798683776, 1, 0
-1594012350379521551, -8419349307524302221,  8433382415805727843, 1, 0
 4155476075126083224,     -942407927874672,  4154533667198208552, 1, 0
-4543419734089236105, -7777487071696429114,  6125837267923886398, 1, 0
 8226238535159384540, -6697530553640899272,  1528707981518485268, 1, 0
-2923507054760850821, -6935874503927689569,  8587362515021011225, 1, 0
-6145717199590563563, -7578473078368512650,  4722553795750475404, 1, 1
  718768753143208802, -4500722301916392010, -3781953548773183208, 0, 1
  846683107914071167, -6305569028175192672, -5458885920261121504, 0, 1
-1874177196043699649,  1134744780511356027,  -739432415532343623, 0, 0
-4049740224756722271, -4591521175281033345, -8641261400037755617, 1, 0
-9029651167928076594,   582462757004215468, -8447188410923861126, 0, 1
 1836743945635871432, -6686966105349797094, -4850222159713925662, 0, 0
 3245822879395729737, -8055879583975649886, -4810056704579920148, 0, 0
-3817025793818948329,  6838456462037737742,  3021430668218789414, 1, 1
-2157121273210247998,  8296304405450498645,  6139183132240250648, 1, 0
 1748351954115989507,  3304520235116299551,  5052872189232289057, 0, 0
 1161418096130235348, -7639482687311991267, -6478064591181755918, 0, 0
-8300891963943693873,  7276377954074410654, -1024514009869283218, 0, 1
-8123127662983794232, -1322163830127478741,  9001452580598278644, 1, 1
-3478747526507149405, -3746897906977754157, -7225645433484903563, 1, 0
-2786679225027643097,  7299399861943235082,  4512720636915591986, 1, 1
-7020892249211892690, -1212358974979562680, -8233251224191455370, 1, 1
 6100865385405252760,  2357047284314947701,  8457912669720200462, 0, 1
 6415998306911286279,  2135944322685001663,  8551942629596287941, 0, 0
-2216274628564604961, -9039361460003374353,  7191107985141572301, 1, 0
 -195349636612454756, -3637088304930198336, -3832437941542653092, 1, 0
-4756070186003321140, -1827200295004299727, -6583270481007620866, 1, 1
-5747916621303821512,  5399585148706552361,  -348331472597269150, 0, 0
 9138876630020774175,  2753449432911047231, -6554418010777730211, 0, 0
-6892161087236908712, -7852587821577525704,  3701995164895117200, 1, 1
 1058241618622364700,  2134190020689704805,  3192431639312069506, 0, 0
 4834388363920321264, -5926451455245703953, -1092063091325382688, 0, 1
 8180895290912051654,  1899236512230367930, -8366612270567132032, 0, 1
 9068000165000658357, -7702280721760453352,  1365719443240205006, 1, 1
-9162377954293884907,  3758199262060734881, -5404178692233150027, 0, 0
 8060059121089389200, -6700437061532781062,  1359622059556608138, 1, 0
 6288055369790895076,  3330202104324036763, -8828486599594619776, 0, 1
-8547031645487667581,  2205498302596829989, -6341533342890837593, 0, 0
-6797707748271016561,   997914445667412329, -5799793302603604233, 0, 0
  345031313453332860, -3025487350629888352, -2680456037176555492, 0, 1
 3085834908709476451,  3347744403309851134,  6433579312019327586, 0, 1
 4810780591521797761,  8739201063002623457, -4896762419185130399, 0, 1
-7016380277995124030,  5406008028094106637, -1610372249901017392, 0, 0
-2408621924097442865,  8349805584016050624,  5941183659918607760, 1, 0
-2483275278490753485, -6465057510677709845, -8948332789168463331, 1, 0
-2234845793178346454, -1006655144786504966, -3241500937964851420, 1, 0
 2406623827391892756, -5050718725059955111, -2644094897668062354, 0, 0
-2098787104809737235, -5718877871009420214, -7817664975819157448, 1, 0
-3651848232179750720, -8147220605306452285,  6647675236223348612, 1, 0
-2718904862854239299,  6498906896546012967,  3780002033691773667, 1, 1
 4700250122219166165, -7002231586945497677, -2301981464726331513, 0, 1
  224892719039855821, -3248926629264998204, -3024033910225142382, 0, 1
-2472848956102345619,  1162445213492607362, -1310403742609738256, 0, 0
 8615091973926745876, -5346425258890423556,  3268666715036322320, 1, 0
 3971429073107417323,  3119359367511848317,  7090788440619265639, 0, 1
-2635903582352074395, -4197739605299044885, -6833643187651119281, 1, 0
  968284810550068923, -6970344106666976468, -6002059296116907544, 0, 0
 -397566280808067617,   320276304813504544,   -77289975994563072, 0, 1
 6222719457731924551, -5443987992787818916,   778731464944105636, 1, 1
 8996959303770154717,  2202535790669742925, -7247248979269653975, 0, 1
-4518538434628558179,  -753560290115523302, -5272098724744081480, 1, 1
-8981316720151875756,  7559516540920142727, -1421800179231733028, 0, 0
 1950674812389868725,  8361307801367762848, -8134761459951920042, 0, 1
-1721129064253531821, -6369777938184512596, -8090907002438044416, 1, 0
-3625804098905544618, -5382983470987149636, -9008787569892694254, 1, 0
 -352937870078893318, -8044750659073249471, -8397688529152142788, 1, 0
 6657146787069892874, -3770371931435036964,  2886774855634855910, 1, 1
-5117958209645314063,  5638565338712617920,   520607129067303858, 1, 0
 1790946478327042575,  4009815765265815049,  5800762243592857623, 0, 0
 2623573435589592786, -4063699893818428895, -1440126458228836108, 0, 0
 -288826198686315955, -8677249084948046424, -8966075283634362378, 1, 1
  533441427572698758, -1050035161663563188,  -516593734090864430, 0, 0
 3159959540599839619,  2934952626961057547,  6094912167560897165, 0, 0
  209342588066663696,  -153604255994961906,    55738332071701790, 1, 1
-4985554425961020117, -4947495010428652066,  8513694637319879434, 1, 0
-4193825429736500083, -7926391111558027904,  6326527532415023630, 1, 0
-2323533652716274433,  2147598975285705066,  -175934677430569366, 0, 1
  838336616582308408, -1760092173766093520,  -921755557183785112, 0, 0
 5273390322895214352,  7640210390228003506, -5533143360586333758, 0, 0
-4867643730547242520,   415489069122833708, -4452154661424408812, 0, 1
-7720133523843638244,  4374239306039125422, -3345894217804512822, 0, 0
-5679095241553023363, -8938596440424676585,  3829052391731851667, 1, 1
-3473114208430107074, -6554614594105717699,  8419015271173726844, 1, 1
-5433842713593765975, -6268582633124258021,  6744318726991527619, 1, 1
-4749827866264157402, -5776102415207365630,  7920813792238028584, 1, 1
-2542425478463113766,  5509718735691311360,  2967293257228197594, 1, 1
  825643211454431643,  7261187850683763122,  8086831062138194766, 0, 1
-1468302767427008423,  2877185596176811191,  1408882828749802767, 1, 0
   77466458426838980,  7427355452998418433,  7504821911425257414, 0, 0
 7214761631518855020,  -628908717930043094,  6585852913588811926, 1, 1
 2752119080380880475,  5202604719044285369,  7954723799425165843, 0, 1
 5104946191974655643, -9056993161546358110, -3952046969571702466, 0, 1
 3398800424525249950, -7742521090186675228, -4343720665661425278, 0, 1
-8280768920628764053,   782003863996966897, -7498765056631797157, 0, 1
-5757579735000637424, -1440444511496051253, -7198024246496688676, 1, 1
 6426851156231796164,   555497632592760824,  6982348788824556988, 0, 1
 5356389496433435212,  2890910525545030119,  8247300021978465332, 0, 1
-3302397601812713624, -5595709790624287679, -8898107392437001302, 1, 1
 2541020333984711106,  -535734596169881641,  2005285737814829466, 1, 0
-3249142192631932594,   743105152333787146, -2506037040298145448, 0, 0
 5132845077250273080,  2412510629830672400,  7545355707080945480, 0, 0
-1831784481228827932,   292083905101754646, -1539700576127073286, 0, 0
 1247175032471374610,  1029983393733845446,  2277158426205220056, 0, 0
-3172189026456945980, -7894725379614942912,  7379829667637662724, 1, 0
-8842218448166830244,  2864420748528931891, -5977797699637898352, 0, 0
 2288796751368976070, -8820374852839363021, -6531578101470386950, 0, 0
-3672552864630790522,   638608567159839148, -3033944297470951374, 0, 1
 -546217660709293299,  4526218524018067036,  3980000863308773738, 1, 1
-8275410623837294051,  -314548362085814730, -8589958985923108780, 1, 1
-1053894234665425991, -2943098146257508702, -3996992380922934692, 1, 0
-1105083006195194326, -5869033999338160357, -6974117005533354682, 1, 1
  -51027553302922749,  1202676778649047354,  1151649225346124606, 1, 1
-7312996581380996580, -4104925026809896879,  7028822465518658158, 1, 1
  191759815886965563, -3406404885814441062, -3214645069927475498, 0, 0
-1414404065311771089, -3702248355880983400, -5116652421192754488, 1, 1
 5361951801364729294,  7875281243780215014, -5209511028564607308, 0, 1
 7806330156367925995, -3136973419043273952,  4669356737324652044, 1, 0
-6095241028324783344,  2822027887131234536, -3273213141193548808, 0, 0
-9095017386696782986, -1901526427668505526,  7450200259344263104, 1, 1
 8499984743854123202, -8692925436407202838,  -192940692553079636, 0, 1
-8246406936366384025,  3742541699607072518, -4503865236759311506, 0, 0
-1592644300972322132,  8509703077882304616,  6917058776909982484, 1, 0
-7549799940764559970,  5417241296288074450, -2132558644476485520, 0, 1
 -830478998237650662, -8396017176295884352,  9220247899176016602, 1, 1
 7001211035816942544, -8069229967036268050, -1068018931219325506, 0, 1
 8518361870394936115,  2962566627123505654, -6965815576191109846, 0, 1
-7912250258896069098, -1510760526515615807,  9023733288297866712, 1, 1
-3291118028819853866, -5146698104848338939, -8437816133668192804, 1, 1
-5907441254228039330, -4691048015157553652,  7848254804323958634, 1, 1
 4017776083546782734,  5874138931657612609, -8554829058505156272, 0, 0
-5744076439777312233, -3511428239926675115,  9191239394005564267, 1, 1
 8278028390967112152,  1690138884875289213, -8478576797867150250, 0, 1
 4241894684584771576, -2031555304916776015,  2210339379667995562, 1, 0
-9083158856592762000,  -994807160166208114,  8368778056950581502, 1, 1
-4299150514137826495,  1561756023000781128, -2737394491137045366, 0, 0
 1605153659843328896,  8923089418506877685, -7918500995359345034, 0, 1
 5965442865129959054, -3745637708034786926,  2219805157095172128, 1, 0
-2481132127946914846, -6186459711811479188, -8667591839758394034, 1, 0
-3987388073737486180,   -47310517763024454, -4034698591500510634, 1, 0
 2055868983811428878, -5437129661355210925, -3381260677543782046, 0, 0
 2270948256434230714,   883367512064541310,  3154315768498772024, 0, 1
 6120346650046881371, -3908713823064450994,  2211632826982430378, 1, 1
-7541759355763014811,  5451859364589988636, -2089899991173026174, 0, 0
